100 3
266 251 921
756 513 709
370 36 489
94 920 788
680 497 260
845 918 696
131 258 683
367 115 300
480 881 573
859 135 686
462 18 213
373 128 564
787 668 538
936 857 500
397 62 142
174 600 998
711 178 708
29 527 318
831 436 165
805 409 586
887 375 821
729 888 253
679 818 987
769 796 635
889 145 197
802 348 618
316 374 340
41 158 200
148 321 899
205 466 24
931 968 860
430 165 70
835 607 22
752 261 45
222 213 392
576 145 490
955 86 691
271 982 209
684 347 616
484 137 834
181 377 910
45 138 576
346 204 886
585 179 15
439 618 796
662 84 481
220 210 783
363 982 175
761 222 254
598 519 103
440 812 1
760 632 962
626 747 539
906 449 486
961 188 340
264 750 523
749 805 39
164 657 959
312 357 446
234 861 636
992 819 485
49 340 9
142 277 55
577 883 176
221 590 829
24 810 16
468 808 851
586 130 7
500 494 772
737 205 785
954 672 630
961 400 28
741 478 889
442 291 193
737 748 88
42 731 335
888 77 839
437 651 290
175 566 489
676 960 119
372 466 335
667 124 549
514 661 652
449 869 376
358 916 716
443 811 465
684 643 836
36 793 303
476 450 583
337 560 964
205 214 867
967 905 794
84 408 269
320 488 146
672 80 849
49 798 909
854 211 355
478 414 706
743 959 732
388 833 364
